user_id,Attention,MemoryRecall,ProcessingSpeed,Reasoning,WorkingMemory,education_level,country,time_of_day,grand_index,gender_reclassified,age_band_derive,filter_$
1127288,20,4,5,272,7,3,US,20,88.681,Female,31-45,1
1131461,11,7,6,197.5,8,8,US,21,105.519,Female,46-60,1
1134479,14,11,7,242,10,3,US,10,122.474,Female,31-45,1
1134815,6,5,5,194.5,9,2,US,13,97.053,Female,18-30,1
1138137,12,8,6,189.5,8,2,US,1,108.505,Female,46-60,1
1138438,13,9,4,203.5,8,2,CA,14,92.56,Female,46-60,1
1138768,12,5,5,484,7,4,US,10, ,Female,31-45,1
1140345,5,5,3,221,8,4,US,14,76.054,Male,18-30,1
1142857,11,5,5,258,11,4,US,14,107.385,Female,61+,1
1143365,17,9,6,175.5,10,4,US,11,120.63,Male,46-60,1
1143927,21,16,6,218.5,9,6,US,16,130.026,Female,18-30,1
1144963,15,9,5,195,8,5,US,9,103.27,Female,46-60,1
1145479,15,9,6,228.5,8,4,US,21,104.455,Female,18-30,1
1145681,23,14,6,187.5,8,3,US,18,133.535,Female,18-30,1
1145996,15,5,5,274.5,8,6,US,20,89.479,Female,46-60,1
1147362,15,12,7,172,10,1,NZ,3,136.344,Male,18-30,1
1147772,19,7,5,230,8,4,US,20,103.426,Male,46-60,1
1148293,18,6,5,309.5,10,6,US,12,105.841,Female,46-60,1
1148632,13,3,6,237.5,7,4,CA,16,94.975,Female,61+,1
1149658,20,3,4,218,8,6,CA,12,99.644,Female,46-60,1
1150605,22,11,6,222,8,6,US,14,115.225,Female,61+,1
1151125,17,10,5,240,8,5,US,17,105.037,Male,18-30,1
1151375,13,8,5,565,8,4,US,9, ,Female,46-60,1
1151779,19,9,4,226,8,4,US,12,95.91,Female,61+,1
1154327,13,3,6,254.5,9,4,US,12,102.082,Female,46-60,1
1154973,14,4,5,270.5,7,4,US,16,97.511,Female,31-45,1
1157468,14,11,6,263.5,9,6,US,17,108.679,Female,61+,1
1157483,17,9,6,181,8,3,US,20,112.456,Female,31-45,1
1158190,27,14,6,230,8,4,US,16,122.474,Female,18-30,1
1159473,15,12,6,230,8,9,US,22,104.31, ,61+,1
1159793,17,12,6,166,8,6,US,22,106.003,Male,61+,1
1159901,13,10,5,240.5,9,4,US,7,105.377,Male,46-60,1
1163454,12,3,5,295,7,3,AU,9,78.045,Female,31-45,1
1164973,21,9,5,210.5,7,9,US,13,105.208,Female,46-60,1
1166583,14,13,6,226.5,9,4,US,15,116.946,Female,18-30,1
1166973,16,7,4,229,8,3,CA,14,91.494,Female,46-60,1
1168578,14,6,5,264,8,4,US,12,95.91,Female,46-60,1
