user_id,Attention,MemoryRecall,ProcessingSpeed,Reasoning,WorkingMemory,education_level,country,time_of_day,grand_index,gender_reclassified,age_band_derive,filter_$,cognitive_composite_score
53093054,9.0,6.0,6.0,197.0,9.0,4.0,AU,0.0,99.342,Female,,1,45.4
53096133,9.0,5.0,5.0,220.0,7.0,6.0,US,19.0,86.0,Female,,1,49.2
53096159,15.0,7.0,5.0,216.0,7.0,4.0,US,13.0,97.053,Male,,1,50.0
53100883,17.0,12.0,4.0,228.0,7.0,3.0,CA,15.0,96.035,Female,,1,53.6
53101085,14.0,16.0,7.0,210.5,9.0,6.0,US,22.0,118.072,Female,,1,51.3
53102680,15.0,8.0,6.0,220.5,8.0,2.0,CA,10.0,113.912,Female,,1,51.5
53104157,12.0,4.0,6.0,179.0,7.0,6.0,US,12.0,99.909,Male,,1,41.6
53105879,15.0,6.0,5.0,263.5,8.0,4.0,US,10.0,97.994,Female,,1,59.5
53106017,13.0,9.0,4.0,202.0,9.0,7.0,US,17.0,102.082,Male,,1,47.4
53106614,16.0,5.0,5.0,209.5,9.0,6.0,US,11.0,99.342,Male,,1,48.9
531072,15.0,4.0,5.0,239.5,8.0,7.0,US,12.0,90.991,Male,,1,54.3
53109047,14.0,7.0,7.0,221.0,9.0,4.0,US,9.0,111.984,Male,,1,51.6
53111105,17.0,14.0,5.0,200.0,10.0,4.0,US,17.0,124.012,Female,,1,49.2
53112137,14.0,5.0,6.0,220.5,8.0,4.0,US,14.0,106.291,Female,,1,50.7
53116101,10.0,9.0,6.0,264.0,7.0,4.0,US,9.0,92.842,Female,,1,59.2
53120,21.0,13.0,5.0,214.0,7.0,4.0,US,13.0,114.916, ,,1,52.0
53120519,12.0,5.0,5.0,285.5,7.0,4.0,US,22.0,84.196,Male,,1,62.9
53122379,8.0,9.0,6.0,196.5,8.0,4.0,US,8.0,100.378,Male,,1,45.5
53129874,9.0,7.0,7.0,234.0,8.0,6.0,US,9.0,97.684,Female,,1,53.0
53133306,29.15204209153657,5.0,7.0,228.0,9.0,6.0,US,16.0,123.199,Female,,1,55.63040841830732
53133663,10.0,3.0,4.0,230.5,7.0,8.0,US,13.0,74.749,Female,,1,50.9
53135044,14.0,6.0,4.0,249.0,8.0,5.0,US,12.0,93.969,Female,,1,56.2
